URI,rdf-schema#label,rdf-schema#comment,administrativeDistrict_label,administrativeDistrict,anthem_label,anthem,area,areaCode,areaLand,areaMetro,areaRural,areaTotal,areaUrban,areaWater,city_label,city,code,country_label,country,daylightSavingTimeZone_label,daylightSavingTimeZone,district_label,district,division_label,division,elevation,federalState_label,federalState,foundingDate,foundingPerson_label,foundingPerson,foundingYear,governingBody_label,governingBody,government_label,government,governmentType_label,governmentType,isPartOf_label,isPartOf,isoCodeRegion_label,isoCodeRegion,leader_label,leader,leaderName_label,leaderName,leaderParty_label,leaderParty,leaderTitle,location_label,location,maximumElevation,mayor_label,mayor,minimumElevation,motto,municipality_label,municipality,part_label,part,percentageOfAreaWater,populationAsOf,populationDensity,populationMetro,populationMetroDensity,populationRural,populationTotal,populationTotalRanking,populationUrban,populationUrbanDensity,postalCode,region_label,region,state_label,state,synonym,thumbnail_label,thumbnail,timeZone_label,timeZone,twinCity_label,twinCity,twinCountry_label,twinCountry,type_label,type,utcOffset,point,22-rdf-syntax-ns#type_label,22-rdf-syntax-ns#type,wgs84_pos#lat,wgs84_pos#long,depiction_label,depiction,homepage_label,homepage,name,nick
URI,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#comment,http://dbpedia.org/ontology/administrativeDistrict,http://dbpedia.org/ontology/administrativeDistrict,http://dbpedia.org/ontology/anthem,http://dbpedia.org/ontology/anthem,http://dbpedia.org/ontology/area,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/areaLand,http://dbpedia.org/ontology/areaMetro,http://dbpedia.org/ontology/areaRural,http://dbpedia.org/ontology/areaTotal,http://dbpedia.org/ontology/areaUrban,http://dbpedia.org/ontology/areaWater,http://dbpedia.org/ontology/city,http://dbpedia.org/ontology/city,http://dbpedia.org/ontology/code,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/daylightSavingTimeZone,http://dbpedia.org/ontology/daylightSavingTimeZone,http://dbpedia.org/ontology/district,http://dbpedia.org/ontology/district,http://dbpedia.org/ontology/division,http://dbpedia.org/ontology/division,http://dbpedia.org/ontology/elevation,http://dbpedia.org/ontology/federalState,http://dbpedia.org/ontology/federalState,http://dbpedia.org/ontology/foundingDate,http://dbpedia.org/ontology/foundingPerson,http://dbpedia.org/ontology/foundingPerson,http://dbpedia.org/ontology/foundingYear,http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/government,http://dbpedia.org/ontology/government,http://dbpedia.org/ontology/governmentType,http://dbpedia.org/ontology/governmentType,http://dbpedia.org/ontology/isPartOf,http://dbpedia.org/ontology/isPartOf,http://dbpedia.org/ontology/isoCodeRegion,http://dbpedia.org/ontology/isoCodeRegion,http://dbpedia.org/ontology/leader,http://dbpedia.org/ontology/leader,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/leaderParty,http://dbpedia.org/ontology/leaderParty,http://dbpedia.org/ontology/leaderTitle,http://dbpedia.org/ontology/location,http://dbpedia.org/ontology/location,http://dbpedia.org/ontology/maximumElevation,http://dbpedia.org/ontology/mayor,http://dbpedia.org/ontology/mayor,http://dbpedia.org/ontology/minimumElevation,http://dbpedia.org/ontology/motto,http://dbpedia.org/ontology/municipality,http://dbpedia.org/ontology/municipality,http://dbpedia.org/ontology/part,http://dbpedia.org/ontology/part,http://dbpedia.org/ontology/percentageOfAreaWater,http://dbpedia.org/ontology/populationAsOf,http://dbpedia.org/ontology/populationDensity,http://dbpedia.org/ontology/populationMetro,http://dbpedia.org/ontology/populationMetroDensity,http://dbpedia.org/ontology/populationRural,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/populationTotalRanking,http://dbpedia.org/ontology/populationUrban,http://dbpedia.org/ontology/populationUrbanDensity,http://dbpedia.org/ontology/postalCode,http://dbpedia.org/ontology/region,http://dbpedia.org/ontology/region,http://dbpedia.org/ontology/state,http://dbpedia.org/ontology/state,http://dbpedia.org/ontology/synonym,http://dbpedia.org/ontology/thumbnail,http://dbpedia.org/ontology/thumbnail,http://dbpedia.org/ontology/timeZone,http://dbpedia.org/ontology/timeZone,http://dbpedia.org/ontology/twinCity,http://dbpedia.org/ontology/twinCity,http://dbpedia.org/ontology/twinCountry,http://dbpedia.org/ontology/twinCountry,http://dbpedia.org/ontology/type,http://dbpedia.org/ontology/type,http://dbpedia.org/ontology/utcOffset,http://www.georss.org/georss/point,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,http://xmlns.com/foaf/0.1/depiction,http://xmlns.com/foaf/0.1/depiction,http://xmlns.com/foaf/0.1/homepage,http://xmlns.com/foaf/0.1/homepage,http://xmlns.com/foaf/0.1/name,http://xmlns.com/foaf/0.1/nick
URI,XMLSchema#string,XMLSchema#string,XMLSchema#string,PopulatedPlace,XMLSchema#string,Work,XMLSchema#double,XMLSchema#string,XMLSchema#double,XMLSchema#double,XMLSchema#double,XMLSchema#double,XMLSchema#double,XMLSchema#double,XMLSchema#string,City,XMLSchema#string,XMLSchema#string,Country,XMLSchema#string,owl#Thing,XMLSchema#string,PopulatedPlace,XMLSchema#string,owl#Thing,XMLSchema#double,XMLSchema#string,PopulatedPlace,XMLSchema#date,XMLSchema#string,Person,XMLSchema#gYear,XMLSchema#string,Organisation,XMLSchema#string,owl#Thing,XMLSchema#string,GovernmentType,XMLSchema#string,owl#Thing,XMLSchema#string,owl#Thing,XMLSchema#string,Person,XMLSchema#string,Person,XMLSchema#string,owl#Thing,XMLSchema#string,XMLSchema#string,Place,XMLSchema#double,XMLSchema#string,Mayor,XMLSchema#double,XMLSchema#string,XMLSchema#string,PopulatedPlace,XMLSchema#string,Place,XMLSchema#float,XMLSchema#date,XMLSchema#double,XMLSchema#nonNegativeInteger,XMLSchema#double,XMLSchema#nonNegativeInteger,XMLSchema#nonNegativeInteger,XMLSchema#positiveInteger,XMLSchema#nonNegativeInteger,XMLSchema#double,XMLSchema#string,XMLSchema#string,Place,XMLSchema#string,PopulatedPlace,XMLSchema#string,XMLSchema#string,owl#Thing,XMLSchema#string,owl#Thing,XMLSchema#string,Settlement,XMLSchema#string,Country,XMLSchema#string,owl#Thing,XMLSchema#string,XMLSchema#string,XMLSchema#string,owl#Class,XMLSchema#float,XMLSchema#float,XMLSchema#string,owl#Thing,XMLSchema#string,owl#Thing,XMLSchema#string,XMLSchema#string
http://www.w3.org/2002/07/owl#Thing,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/PopulatedPlace,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/Work,http://www.w3.org/2001/XMLSchema#double,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2001/XMLSchema#double,http://www.w3.org/2001/XMLSchema#double,http://www.w3.org/2001/XMLSchema#double,http://www.w3.org/2001/XMLSchema#double,http://www.w3.org/2001/XMLSchema#double,http://www.w3.org/2001/XMLSchema#double,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/City,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/Country,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2002/07/owl#Thing,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/PopulatedPlace,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2002/07/owl#Thing,http://www.w3.org/2001/XMLSchema#double,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/PopulatedPlace,http://www.w3.org/2001/XMLSchema#date,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/Person,http://www.w3.org/2001/XMLSchema#gYear,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/Organisation,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2002/07/owl#Thing,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/GovernmentType,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2002/07/owl#Thing,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2002/07/owl#Thing,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/Person,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/Person,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2002/07/owl#Thing,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/Place,http://www.w3.org/2001/XMLSchema#double,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/Mayor,http://www.w3.org/2001/XMLSchema#double,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/PopulatedPlace,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/Place,http://www.w3.org/2001/XMLSchema#float,http://www.w3.org/2001/XMLSchema#date,http://www.w3.org/2001/XMLSchema#double,http://www.w3.org/2001/XMLSchema#nonNegativeInteger,http://www.w3.org/2001/XMLSchema#double,http://www.w3.org/2001/XMLSchema#nonNegativeInteger,http://www.w3.org/2001/XMLSchema#nonNegativeInteger,http://www.w3.org/2001/XMLSchema#positiveInteger,http://www.w3.org/2001/XMLSchema#nonNegativeInteger,http://www.w3.org/2001/XMLSchema#double,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/Place,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/PopulatedPlace,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2002/07/owl#Thing,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2002/07/owl#Thing,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/Settlement,http://www.w3.org/2001/XMLSchema#string,http://dbpedia.org/ontology/Country,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2002/07/owl#Thing,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2002/07/owl#Class,http://www.w3.org/2001/XMLSchema#float,http://www.w3.org/2001/XMLSchema#float,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2002/07/owl#Thing,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2002/07/owl#Thing,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2001/XMLSchema#string
http://dbpedia.org/resource/Kud,Kud,Kud is a town and a notified area committee in Udhampur District in the Indian state of Jammu and Kashmir.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,India,http://dbpedia.org/resource/India,NULL,NULL,NULL,NULL,NULL,NULL,1855,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{Jammu and Kashmir|Udhampur district},{http://dbpedia.org/resource/Jammu_and_Kashmir|http://dbpedia.org/resource/Udhampur_district},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Indian Standard Time,http://dbpedia.org/resource/Indian_Standard_Time,NULL,NULL,NULL,NULL,NULL,NULL,+5:30,33.08 75.28,{city|place|populated place|municipality|City|Place|_Feature|owl#Thing},{http://dbpedia.org/ontology/City|http://dbpedia.org/ontology/Place|http://dbpedia.org/ontology/PopulatedPlace|http://dbpedia.org/ontology/Settlement|http://schema.org/City|http://schema.org/Place|http://www.opengis.net/gml/_Feature|http://www.w3.org/2002/07/owl#Thing},33.08,75.28,NULL,NULL,NULL,NULL,Kud,NULL
"http://dbpedia.org/resource/Kuju,_Hazaribag",Kuju Hazaribag,Kuju is a census town in Ramgarh district in the Indian state of Jharkhand.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,India,http://dbpedia.org/resource/India,NULL,NULL,NULL,NULL,NULL,NULL,426,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{Jharkhand|Ramgarh district},{http://dbpedia.org/resource/Jharkhand|http://dbpedia.org/resource/Ramgarh_district},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18049,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Indian Standard Time,http://dbpedia.org/resource/Indian_Standard_Time,NULL,NULL,NULL,NULL,NULL,NULL,+5:30,23.72 85.5,{city|place|populated place|municipality|City|Place|_Feature|owl#Thing},{http://dbpedia.org/ontology/City|http://dbpedia.org/ontology/Place|http://dbpedia.org/ontology/PopulatedPlace|http://dbpedia.org/ontology/Settlement|http://schema.org/City|http://schema.org/Place|http://www.opengis.net/gml/_Feature|http://www.w3.org/2002/07/owl#Thing},23.72,85.5,NULL,NULL,NULL,NULL,Kuju,NULL
http://dbpedia.org/resource/Kumbhraj,Kumbhraj,Kumbhraj is a town and a nagar panchayat in Guna district in the Indian state of Madhya Pradesh.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,India,http://dbpedia.org/resource/India,NULL,NULL,NULL,NULL,NULL,NULL,419,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{Guna district|Madhya Pradesh},{http://dbpedia.org/resource/Guna_district|http://dbpedia.org/resource/Madhya_Pradesh},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Indian Standard Time,http://dbpedia.org/resource/Indian_Standard_Time,NULL,NULL,NULL,NULL,NULL,NULL,+5:30,24.37 77.05,{city|place|populated place|municipality|City|Place|_Feature|owl#Thing},{http://dbpedia.org/ontology/City|http://dbpedia.org/ontology/Place|http://dbpedia.org/ontology/PopulatedPlace|http://dbpedia.org/ontology/Settlement|http://schema.org/City|http://schema.org/Place|http://www.opengis.net/gml/_Feature|http://www.w3.org/2002/07/owl#Thing},24.37,77.05,NULL,NULL,NULL,NULL,Kumbhraj,NULL
http://dbpedia.org/resource/Kumhari,Kumhari,Kumhari is a town and a nagar panchayat in Durg district in the Indian state of Chhattisgarh.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,India,http://dbpedia.org/resource/India,NULL,NULL,NULL,NULL,NULL,NULL,285,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{Chhattisgarh|Durg district},{http://dbpedia.org/resource/Chhattisgarh|http://dbpedia.org/resource/Durg_district},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29737,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Indian Standard Time,http://dbpedia.org/resource/Indian_Standard_Time,NULL,NULL,NULL,NULL,NULL,NULL,+5:30,21.27 81.52,{city|place|populated place|municipality|City|Place|_Feature|owl#Thing},{http://dbpedia.org/ontology/City|http://dbpedia.org/ontology/Place|http://dbpedia.org/ontology/PopulatedPlace|http://dbpedia.org/ontology/Settlement|http://schema.org/City|http://schema.org/Place|http://www.opengis.net/gml/_Feature|http://www.w3.org/2002/07/owl#Thing},21.27,81.52,NULL,NULL,NULL,NULL,Kumhari,NULL
http://dbpedia.org/resource/Kundgol,Kundgol,Kundgolalso spelled as Kundagol is a panchayat town in Dharwad district in the Indian state of Karnataka.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,India,http://dbpedia.org/resource/India,NULL,NULL,NULL,NULL,NULL,NULL,615,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{Dharwad district|Karnataka},{http://dbpedia.org/resource/Dharwad_district|http://dbpedia.org/resource/Karnataka},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16837,NULL,NULL,NULL,58113,NULL,NULL,NULL,NULL,NULL,200px-Kundagol_Shambhulinga_temple_10.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Kundagol_Shambhulinga_temple_10.jpg/200px-Kundagol_Shambhulinga_temple_10.jpg,Indian Standard Time,http://dbpedia.org/resource/Indian_Standard_Time,NULL,NULL,NULL,NULL,NULL,NULL,+5:30,15.25 75.25,{city|place|populated place|municipality|City|Place|_Feature|owl#Thing},{http://dbpedia.org/ontology/City|http://dbpedia.org/ontology/Place|http://dbpedia.org/ontology/PopulatedPlace|http://dbpedia.org/ontology/Settlement|http://schema.org/City|http://schema.org/Place|http://www.opengis.net/gml/_Feature|http://www.w3.org/2002/07/owl#Thing},15.25,75.25,Kundagol_Shambhulinga_temple_10.jpg,http://upload.wikimedia.org/wikipedia/commons/f/ff/Kundagol_Shambhulinga_temple_10.jpg,NULL,NULL,{Kundagola|Kundgol ಕುಂದಗೋಳ},NULL
http://dbpedia.org/resource/Kunigal,Kunigal,Kunigal is a town in Tumkur district in the Indian state of Karnataka. It is the headquarters of Kunigal taluk. Kunigal is famous for stud farm owned by Vijay Mallya.,NULL,NULL,NULL,NULL,NULL,91-8132,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,India,http://dbpedia.org/resource/India,NULL,NULL,NULL,NULL,NULL,NULL,773,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{Karnataka|Tumkur district},{http://dbpedia.org/resource/Karnataka|http://dbpedia.org/resource/Tumkur_district},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30291,NULL,NULL,NULL,572130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Indian Standard Time,http://dbpedia.org/resource/Indian_Standard_Time,NULL,NULL,NULL,NULL,NULL,NULL,+5:30,13.02 77.03,{city|place|populated place|municipality|City|Place|_Feature|owl#Thing},{http://dbpedia.org/ontology/City|http://dbpedia.org/ontology/Place|http://dbpedia.org/ontology/PopulatedPlace|http://dbpedia.org/ontology/Settlement|http://schema.org/City|http://schema.org/Place|http://www.opengis.net/gml/_Feature|http://www.w3.org/2002/07/owl#Thing},13.02,77.03,NULL,NULL,NULL,NULL,Kunigal,NULL
http://dbpedia.org/resource/Kunzer,Kunzer,Kunzer is a town and a Municipal committee in Baramulla District in the Indian state of Jammu and Kashmir.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,India,http://dbpedia.org/resource/India,NULL,NULL,NULL,NULL,NULL,NULL,1761,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{Baramulla district|Jammu and Kashmir},{http://dbpedia.org/resource/Baramulla_district|http://dbpedia.org/resource/Jammu_and_Kashmir},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1901,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,कुन्ज़ेर,NULL,NULL,Indian Standard Time,http://dbpedia.org/resource/Indian_Standard_Time,NULL,NULL,NULL,NULL,NULL,NULL,+5:30,34.09 74.5,{city|place|populated place|municipality|City|Place|_Feature|owl#Thing},{http://dbpedia.org/ontology/City|http://dbpedia.org/ontology/Place|http://dbpedia.org/ontology/PopulatedPlace|http://dbpedia.org/ontology/Settlement|http://schema.org/City|http://schema.org/Place|http://www.opengis.net/gml/_Feature|http://www.w3.org/2002/07/owl#Thing},34.09,74.5,NULL,NULL,NULL,NULL,Kunzer,NULL
